graph_id,is_correct,feature_14,feature_10,feature_1590,feature_45,feature_7,feature_4772,feature_88,feature_90,feature_157
2930_0_5,0,0,1,0,0,0,0,0,0,0
3188_0_0,0,0,0,0,1,0,0,0,0,0
3188_0_1,0,0,0,0,1,0,0,0,0,0
3188_0_2,0,0,0,0,1,0,0,0,0,0
3188_0_3,0,0,0,0,1,0,0,0,0,0
3188_0_4,0,0,0,0,1,0,0,0,0,0
3188_0_5,0,0,0,0,1,0,0,0,0,0
3188_1_0,0,0,0,0,1,0,0,0,0,0
3188_1_1,0,0,0,0,1,0,0,0,0,0
3188_1_2,0,0,0,0,1,0,0,0,0,0
3188_1_3,0,0,0,0,1,0,0,0,0,0
3188_1_4,0,0,0,0,1,0,0,0,0,0
3188_1_5,0,0,0,0,1,0,0,0,0,0
614_0_0,0,0,0,0,1,0,0,0,0,0
614_0_1,0,0,0,0,1,0,0,0,0,0
614_0_2,0,0,0,0,1,0,0,0,0,0
614_0_3,0,0,0,0,1,0,0,0,0,0
614_0_4,0,0,0,0,1,0,0,0,0,0
614_0_5,0,0,0,0,1,0,0,0,0,0
614_1_0,0,0,0,0,1,0,0,0,0,0
614_1_1,0,0,0,0,1,0,0,0,0,0
614_1_2,0,0,0,0,1,0,0,0,0,0
614_1_3,0,0,0,0,1,0,0,0,0,0
614_1_4,0,0,0,0,1,0,0,0,0,0
614_1_5,0,0,0,0,1,0,0,0,0,0
1465_0_0,0,0,0,0,0,0,0,0,0,0
1465_0_1,0,0,0,0,0,0,0,0,0,0
1465_0_2,0,0,0,0,0,0,0,0,0,0
1465_0_3,0,0,0,0,0,0,0,0,0,0
1465_0_4,0,0,0,0,0,0,0,0,0,0
1465_0_5,0,0,0,0,0,0,0,0,0,0
1466_0_0,0,0,0,0,0,0,0,0,0,0
1466_0_1,0,0,0,0,0,0,0,0,0,0
1466_0_2,0,0,0,0,0,0,0,0,0,0
1466_0_3,0,0,0,0,0,0,0,0,0,0
1466_0_4,0,0,0,0,0,0,0,0,0,0
1466_0_5,0,0,0,0,0,0,0,0,0,0
3243_0_0,0,0,0,0,0,0,0,0,0,0
3243_0_1,0,0,0,0,0,0,0,0,0,0
3243_0_2,0,0,0,0,0,0,0,0,0,0
3243_0_3,0,0,0,0,0,0,0,0,0,0
3243_0_4,0,0,0,0,0,0,0,0,0,0
3243_0_5,0,0,0,0,0,0,0,0,0,0
