graph_id,is_correct,feature_68,feature_90,feature_46,feature_7012,feature_34,feature_37140,feature_326,feature_7006,feature_119,feature_361,feature_158,feature_5174,feature_11944,feature_16446,feature_5159,feature_210,feature_132,feature_1,feature_6229
3624_0_2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3624_0_3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_0_0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0
2025_0_1,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0
2025_0_2,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0
2025_0_3,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0
2025_1_0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0
2025_1_1,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0
2025_1_2,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0
2025_1_3,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0
2217_0_0,0,0,0,1,1,1,1,0,1,0,0,1,1,1,0,1,0,0,0,0
2217_0_1,0,0,0,1,1,1,1,0,1,0,0,1,1,1,0,1,0,0,0,0
2217_0_2,0,0,0,1,1,1,1,0,1,0,0,1,1,1,0,1,0,0,0,0
2217_0_3,0,0,0,1,1,1,1,0,1,0,0,1,1,1,0,1,0,0,0,0
2026_0_0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1
2026_0_1,0,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1
2026_0_2,0,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1
2026_0_3,0,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1
2026_1_0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1
2026_1_1,0,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1
2026_1_2,0,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1
2026_1_3,0,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1
428_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
428_0_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
428_0_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
428_0_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2797_0_0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,1
2797_0_1,0,0,0,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,1
2797_0_2,0,0,0,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,1
2797_0_3,0,0,0,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,1
2797_1_0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,1
2797_1_1,0,0,0,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,1
2797_1_2,0,0,0,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,1
2797_1_3,0,0,0,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,1
2798_0_0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,1
2798_0_1,0,0,0,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,1
2798_0_2,0,0,0,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,1
2798_0_3,0,0,0,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,1
2798_1_0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,1
2798_1_1,0,0,0,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,1
2798_1_2,0,0,0,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,1
2798_1_3,0,0,0,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,1
3312_0_0,0,0,0,1,1,1,1,0,1,0,0,1,1,1,0,1,0,1,0,1
3312_0_1,0,0,0,1,1,1,1,0,1,0,0,1,1,1,0,1,0,1,0,1
3312_0_2,0,0,0,1,1,1,1,0,1,0,0,1,1,1,0,1,0,1,0,1
3312_0_3,0,0,0,1,1,1,1,0,1,0,0,1,1,1,0,1,0,1,0,1
3312_1_0,0,0,0,1,1,1,1,0,1,0,0,1,1,1,0,1,0,1,0,1
3312_1_1,0,0,0,1,1,1,1,0,1,0,0,1,1,1,0,1,0,1,0,1
3312_1_2,0,0,0,1,1,1,1,0,1,0,0,1,1,1,0,1,0,1,0,1
3312_1_3,0,0,0,1,1,1,1,0,1,0,0,1,1,1,0,1,0,1,0,1
3829_0_0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3829_0_1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3829_0_2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
