,Project,Version,,,API 1,,,,Misuse,,,,DMMC,GrouMiner,Jadet,Tikanga,MUDetect,MUDetectXP,,COMPOSITE,ALP,,,,,,,,ALP uniq
102,jfreechart,164,org/jfree/chart/renderer/category/StatisticalBarRenderer.java,"drawVerticalItem(Graphics2D, CategoryItemRendererState, Rectangle2D, CategoryPlot, CategoryAxis, ValueAxis, StatisticalCategoryDataset, int, int)",org.jfree.data.statistics.StatisticalCategoryDataset,,,duplicate,4b,,exception,,,,,,,,,#VALUE!,,,,,,,,,FALSE
103,jfreechart,2183,org/jfree/chart/plot/XYPlot.java,getDataRange(ValueAxis),org.jfree.chart.plot.XYPlot,,,,5,,exception,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,FALSE
104,jfreechart,1025,org/jfree/chart/util/ShapeUtilities.java,"equal(GeneralPath, GeneralPath)",com.itextpdf.awt.geom.GeneralPath,,,,1,,wrong,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,,,,,,,,FALSE
105,jigsaw,205,org/w3c/jigsaw/servlet/JigsawHttpServletRequest.java,getLocale(),java.util.Enumeration,,,,MUDetect-10,,exception,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,TRUE,FALSE,,,,,,,,FALSE
106,jigsaw,205,org/w3c/jigsaw/proxy/ProxyFrame.java,"handle(Request, URLDecoder)",org.w3c.tools.resources.ResourceReference,,,,MUDetect-12,,wrong,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,TRUE,FALSE,,,,,,,,FALSE
107,jigsaw,205,org/w3c/jigsaw/proxy/ProxyFrame.java,"lookupOther(LookupState, LookupResult)",org.w3c.tools.resources.ResourceReference,,,,tikanga-0,,wrong,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,TRUE,FALSE,,,,,,,,FALSE
108,jmrtd,51,sos/mrtd/SecureMessagingWrapper.java,"readDO8E(DataInputStream, byte[])",java.io.DataOutputStream,,,,1,,resource_leak,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,TRUE,,,,,,,,FALSE
109,jmrtd,67,sos/mrtd/PassportAuthService.java,doAA(PublicKey),javax.crypto.Cipher,,,,2,,wrong,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,FALSE
110,jodatime,1231,org/joda/time/contrib/hibernate/PersistentInterval.java,"nullSafeGet(ResultSet, String[], SessionImplementor, Object)",org.joda.time.Interval,,,,1,,exception,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,FALSE
111,jodatime,cc35fb2,TestDays.java,testSerialization(),java.io.ObjectOutputStream,,,,269,,wrong,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,TRUE,,,,,,,,FALSE
112,jodatime,cc35fb2,TestDurationFieldType.java,,java.io.ObjectOutputStream,,,,270,,wrong,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,TRUE,,,,,,,,FALSE
113,jodatime,cc35fb2,TestDateTimeZone.java,,java.io.ObjectOutputStream,,,,271,,wrong,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,TRUE,,,,,,,,FALSE
114,jodatime,cc35fb2,TestDateTimeZone.java,,java.io.ObjectOutputStream,,,,272,,wrong,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,TRUE,,,,,,,,FALSE
115,jodatime,cc35fb2,TestDateTimeFieldType.java,,java.io.ObjectOutputStream,,,,273,,wrong,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,TRUE,,,,,,,,FALSE
116,jodatime,cc35fb2,TestDateTimeComparator.java,,java.io.ObjectOutputStream,,,,274,,wrong,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,TRUE,,,,,,,,FALSE
117,jodatime,cc35fb2,TestDateTimeComparator.java,,java.io.ObjectOutputStream,,,,275,,wrong,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,TRUE,,,,,,,,FALSE
118,jodatime,cc35fb2,TestDateMidnight_Basics.java,,java.io.ObjectOutputStream,,,,276,,wrong,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,TRUE,,,,,,,,FALSE
119,jodatime,cc35fb2,TestDateTime_Basics.java,,java.io.ObjectOutputStream,,,,277,,wrong,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,TRUE,,,,,,,,FALSE
120,jodatime,cc35fb2,TestDuration_Basics.java,,java.io.ObjectOutputStream,,,,278,,wrong,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,TRUE,,,,,,,,FALSE
121,jodatime,cc35fb2,TestHours.java,,java.io.ObjectOutputStream,,,,279,,wrong,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,TRUE,,,,,,,,FALSE
122,jodatime,cc35fb2,TestInstant_Basics.java,,java.io.ObjectOutputStream,,,,280,,wrong,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,TRUE,,,,,,,,FALSE
123,jodatime,cc35fb2,TestInterval_Basics.java,,java.io.ObjectOutputStream,,,,281,,wrong,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,TRUE,,,,,,,,FALSE
124,jodatime,cc35fb2,TestLocalDateTime_Basics.java,,java.io.ObjectOutputStream,,,,282,,wrong,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,TRUE,,,,,,,,FALSE
125,jodatime,cc35fb2,TestLocalDate_Basics.java,,java.io.ObjectOutputStream,,,,283,,wrong,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,TRUE,,,,,,,,FALSE
126,jodatime,cc35fb2,TestLocalTime_Basics.java,,java.io.ObjectOutputStream,,,,284,,wrong,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,TRUE,,,,,,,,FALSE
127,jodatime,cc35fb2,TestMinutes.java,,java.io.ObjectOutputStream,,,,285,,wrong,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,TRUE,,,,,,,,FALSE
128,jodatime,cc35fb2,TestMonthDay_Basics.java,,java.io.ObjectOutputStream,,,,286,,wrong,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,TRUE,,,,,,,,FALSE
129,jodatime,cc35fb2,TestMonths.java,,java.io.ObjectOutputStream,,,,287,,wrong,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,TRUE,,,,,,,,FALSE
130,jodatime,cc35fb2,TestMutableDateTime_Basics.java,,java.io.ObjectOutputStream,,,,288,,wrong,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,TRUE,,,,,,,,FALSE
131,jodatime,cc35fb2,TestMutableInterval_Basics.java,,java.io.ObjectOutputStream,,,,289,,wrong,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,TRUE,,,,,,,,FALSE
132,jodatime,cc35fb2,TestMutablePeriod_Basics.java,,java.io.ObjectOutputStream,,,,290,,wrong,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,TRUE,,,,,,,,FALSE
133,jodatime,cc35fb2,TestPartial_Basics.java,,java.io.ObjectOutputStream,,,,291,,wrong,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,TRUE,,,,,,,,FALSE
134,jodatime,cc35fb2,TestPeriodType.java,,java.io.ObjectOutputStream,,,,292,,wrong,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,TRUE,,,,,,,,FALSE
135,jodatime,cc35fb2,TestPeriodType.java,,java.io.ObjectOutputStream,,,,293,,wrong,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,TRUE,,,,,,,,FALSE
136,jodatime,cc35fb2,TestPeriod_Basics.java,,java.io.ObjectOutputStream,,,,294,,wrong,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,TRUE,,,,,,,,FALSE
137,jodatime,cc35fb2,TestSeconds.java,,java.io.ObjectOutputStream,,,,295,,wrong,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,TRUE,,,,,,,,FALSE
138,jodatime,cc35fb2,TestTimeOfDay_Basics.java,,java.io.ObjectOutputStream,,,,296,,wrong,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,TRUE,,,,,,,,FALSE
139,jodatime,cc35fb2,TestWeeks.java,,java.io.ObjectOutputStream,,,,297,,wrong,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,TRUE,,,,,,,,FALSE
140,jodatime,cc35fb2,TestYearMonthDay_Basics.java,,java.io.ObjectOutputStream,,,,298,,wrong,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,TRUE,,,,,,,,FALSE
141,jodatime,cc35fb2,TestYearMonth_Basics.java,,java.io.ObjectOutputStream,,,,299,,wrong,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,TRUE,,,,,,,,FALSE
142,jodatime,cc35fb2,TestYears.java,,java.io.ObjectOutputStream,,,,300,,wrong,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,TRUE,,,,,,,,FALSE
143,jodatime,cc35fb2,TestMillisDurationField.java,,java.io.ObjectOutputStream,,,,301,,wrong,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,TRUE,,,,,,,,FALSE
144,jodatime,cc35fb2,TestPreciseDurationField.java,,java.io.ObjectOutputStream,,,,302,,wrong,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,TRUE,,,,,,,,FALSE
145,jodatime,cc35fb2,TestScaledDurationField.java,,java.io.ObjectOutputStream,,,,303,,wrong,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,TRUE,,,,,,,,FALSE
146,jodatime,cc35fb2,TestCachedDateTimeZone.java,,java.io.ObjectOutputStream,,,,304,,wrong,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,TRUE,,,,,,,,FALSE
147,jodatime,cc35fb2,TestDateMidnight_Basics.java,,java.io.ObjectOutputStream,,,,339,,wrong,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE,,,,,,,,TRUE
148,jodatime,cc35fb2,DateTimeZoneBuilder.java,Rule(StringTokenizer),java.util.StringTokenizer,,,,361,,exception,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE,,,,,,,,TRUE
149,jodatime,cc35fb2,org/joda/time/tz/ZoneInfoCompiler.java,Zone(StringTokenizer),java.util.StringTokenizer,,,,362,,exception,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE,,,,,,,,TRUE
150,jodatime,cc35fb2,org/joda/time/tz/ZoneInfoCompiler.java,"Zone(String, StringTokenizer)",java.util.StringTokenizer,,,,363,,exception,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,TRUE,,,,,,,,FALSE
151,jriecken-gae-java-mini-profiler,80f3a59,com/google/appengine/tools/appstats/MiniProfilerAppstats.java,"getAppstatsDataFor(String, Integer)",java.lang.Long,,,,39,,exception,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,TRUE,,,,,,,,FALSE
152,logblock-logblock-2,40548aa,org/logblock/entry/BlobTest.java,paintingTest(),java.io.DataOutputStream,,,,15,,wrong,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE,,,,,,,,TRUE
153,lucene,754,org/apache/lucene/search/FieldCacheImpl.java,"get(IndexReader, Object)",java.util.Map,,,,5,,wrong,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE,,,,,,,,TRUE
154,lucene,1918,org/apache/lucene/index/ParallelReader.java,ParallelTermEnum,java.util.SortedMap,,,,2,,exception,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,FALSE
155,lucene,1918,org/apache/lucene/search/BooleanQuery.java,"explain(IndexReader, int)",java.util.Iterator,,,,MUDetect-5,,exception,,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,TRUE,FALSE,,,,,,,,FALSE
156,lucene,1918,org/apache/lucene/search/BooleanQuery.java,"scorer(IndexReader, boolean, boolean)",java.util.Iterator,,,,MUDetect-9,,exception,,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,,TRUE,FALSE,,,,,,,,FALSE
157,lucene,1918,org/apache/lucene/index/IndexWriter.java,_mergeInit(OneMerge),org.apache.lucene.index.SegmentInfos,,,,MUDetect-10,,exception,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,TRUE,TRUE,,,,,,,,FALSE
158,lucene,1918,org/apache/lucene/util/AttributeSource.java,computeCurrentState(),java.util.Iterator,,,,tikanga-0,,exception,,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,,TRUE,TRUE,,,,,,,,FALSE
159,lucene,1918,org/apache/lucene/index/MergeDocIDRemapper.java,"MergeDocIDRemapper(SegmentInfos, int[][], int[], OneMerge, int)",org.apache.lucene.index.SegmentInfos,,,,tikanga-1,,exception,,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,,TRUE,TRUE,,,,,,,,FALSE
160,lucene,1918,org/apache/lucene/index/MergeDocIDRemapper.java,"MergeDocIDRemapper(SegmentInfos, int[][], int[], OneMerge, int)",org.apache.lucene.index.SegmentInfos,,,duplicate,tikanga-1a,,exception,,,,,,,,,,,,,,,,,,
161,lucene,1918,org/apache/lucene/index/MergeDocIDRemapper.java,"MergeDocIDRemapper(SegmentInfos, int[][], int[], OneMerge, int)",org.apache.lucene.index.SegmentInfos,,,duplicate,tikanga-1b,,exception,,,,,,,,,,,,,,,,,,
162,lucene,1918,org/apache/lucene/index/MergeDocIDRemapper.java,"MergeDocIDRemapper(SegmentInfos, int[][], int[], OneMerge, int)",org.apache.lucene.index.SegmentInfos,,,duplicate,tikanga-1c,,exception,,,,,,,,,,,,,,,,,,
163,lucene,1918,org/apache/lucene/index/MergeDocIDRemapper.java,"MergeDocIDRemapper(SegmentInfos, int[][], int[], OneMerge, int)",org.apache.lucene.index.SegmentInfos,,,duplicate,tikanga-1d,,exception,,,,,,,,,,,,,,,,,,
164,lucene,1251,org/apache/lucene/store/FSDirectory.java,close(),java.io.RandomAccessFile,,,,1,,resource_leak,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,FALSE
165,lucene,207,org/apache/lucene/store/FSDirectory.java,obtain(),java.io.File,,,,3,,exception,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,FALSE
166,minecraft-launcher,e62d1bb,net/minecraft/launcher/authentication/BaseAuthenticationService.java,"getCipher(int, String)",javax.crypto.Cipher,,,,1,,wrong,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,TRUE
167,mqtt,f438425,org/eclipse/paho/client/mqttv3/internal/wire/MqttSubscribe.java,getPayload(),java.io.DataOutputStream,,,,389,,wrong,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE,,,,,,,,TRUE
168,mqtt,f438425,org/eclipse/paho/client/mqttv3/internal/wire/MqttUnsubscribe.java,getPayload(),java.io.DataOutputStream,,,,390,,wrong,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE,,,,,,,,TRUE
169,progin5,3c01e7a,encryption/RSA.java,"encrypt(String, PublicKey)",javax.crypto.Cipher,,,,1,,wrong,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,FALSE
170,rhino,286251,org/mozilla/javascript/Parser.java,function(int),org.mozilla.javascript.IRFactory,,,,1,,wrong,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,FALSE
171,saavn,e576758,SaavnFileRunner.java,"decryptPlay(String)""",javax.crypto.Cipher,,,,1,,wrong,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE,,,,,,,,TRUE
172,saavn,e576758,SaavnFileRunner.java,decryptPlay(String),javax.crypto.spec.SecretKeySpec,,,,2,,wrong,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE,,,,,,,,TRUE
173,secure-tcp,aeba19a,org/network/stcp/server/SecureConnectionHandler.java,run(),javax.crypto.Cipher,,,,1,,wrong,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE,,,,,,,,FALSE
174,synthetic_directives,jsl,mubench/examples/directives/AlreadyOnDTE.java,,javax.swing.JFrame,,,,alreadyondte,,wrong,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,FALSE
175,synthetic_directives,jsl,mubench/examples/directives/CallOnDTE.java,,javax.swing.JFrame,,,,callondte,,wrong,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,TRUE
176,synthetic_directives,jsl,mubench/examples/directives/Deadlock.java,,java.lang.Object,,,,deadlock,,wrong,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,FALSE
177,synthetic_directives,jsl,mubench/examples/directives/LateNullCheck.java,,java.lang.Object,,,,latenullcheck,,wrong,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,FALSE
178,synthetic_directives,jsl,mubench/examples/directives/MayBeNull.java,,java.lang.Object,,,,maybenull,,exception,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,FALSE
179,synthetic_directives,jsl,mubench/examples/directives/Repetitive.java,,java.util.Collection,,,,repetitive,,wrong,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,FALSE,,,,,,,,FALSE
180,synthetic_directives,jsl,mubench/examples/directives/SupressError.java,,java.lang.Throwable,,,,supresserror,,wrong,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,FALSE
181,synthetic_directives,jsl,mubench/examples/directives/TooRestrictive.java,,java.util.List,,,,toorestrictive,,wrong,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,TRUE
182,synthetic_directives,jsl,mubench/examples/directives/Unsynchronized.java,,java.util.Map,,,,unsynchronized,,wrong,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE,,,,,,,,FALSE
183,synthetic_directives,jsl,,,java.lang.Object,,,,wait-loop,,wrong,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,FALSE
184,synthetic_java8-misuses,96d0ccb,com/xpinjection/java8/misused/optional/HundredAndOneApproach.java,getPersonCarInsuranceName(Person),java.util.Optional,,,,optional-map-unchecked-get,,exception,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE,,,,,,,,TRUE
185,synthetic_java8-misuses,96d0ccb,com/xpinjection/java8/misused/stream/incorrect/UseStreamMoreThanOnce.java,streamIsClosedAfterTerminalOperation,java.util.stream.IntStream,,,,stream-closed,,exception,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,FALSE
186,synthetic_java8-misuses,96d0ccb,com/xpinjection/java8/misused/stream/incorrect/InfiniteStreams.java,infinite(),java.util.stream.IntStream,,,,stream-infinite,,wrong,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,FALSE
187,synthetic_java8-misuses,96d0ccb,com/xpinjection/java8/misused/stream/incorrect/InfiniteStreams.java,infinite(),java.util.stream.IntStream,,,,stream-infinite2,,wrong,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,FALSE
188,synthetic_java8-misuses,96d0ccb,com/xpinjection/java8/misused/stream/incorrect/ForgotTerminalOperation.java,willDoNothingInReality(),java.util.stream.IntStream,,,,stream-without-terminal,,wrong,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,FALSE
189,synthetic_jca,jsl,mubench/examples/jca/Encrypting.java,"encrypt(byte[], byte[])",javax.crypto.Cipher,,,,aes-ecb-mode,,wrong,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE,,,,,,,,TRUE
190,synthetic_jca,jsl,mubench/examples/jca/Encrypting.java,encryptWithKey(byte[]),javax.crypto.spec.SecretKeySpec,,,,static-key,,wrong,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,FALSE
191,synthetic_jca,jsl,mubench/examples/jca/ReinitializingCipher.java,"misuse(BufferedReader, Key)",javax.crypto.Cipher,,,,loop-init,,wrong,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE,,,,,,,,TRUE
192,synthetic_survey,jsl,mubench/examples/survey/ArrayAccess.java,"misuse(int[], int)",array,,,,arrayaccess,,exception,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,FALSE
193,synthetic_survey,jsl,mubench/examples/survey/Close.java,missingClose(File),java.io.PrintWriter,,,,close-1,,resource_leak,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE,,,,,,,,TRUE
194,synthetic_survey,jsl,mubench/examples/survey/Close.java,missingFinally(File),java.io.PrintWriter,,,,close-2,,resource_leak,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE,,,,,,,,TRUE
195,synthetic_survey,jsl,mubench/examples/survey/CME.java,misuse(Collection),java.util.Iterator,,,,cme,,exception,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,FALSE,,,,,,,,FALSE
196,synthetic_survey,jsl,mubench/examples/survey/FISExists.java,misuse(File),java.io.FileInputStream,,,,fisexists,,exception,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,FALSE
197,synthetic_survey,jsl,mubench/examples/survey/ByteBufferFlip.java,"needsFlipToReadWhatWasWritten(ByteBuffer, byte[])",java.nio.ByteBuffer,,,,flip-1,,wrong,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,FALSE
198,synthetic_survey,jsl,mubench/examples/survey/ByteBufferFlip.java,needsFlipToCopyWhatWasWritten(byte[]),java.nio.ByteBuffer,,,,flip-2,,wrong,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,FALSE,,,,,,,,FALSE
199,synthetic_survey,jsl,mubench/examples/survey/ChannelFlush.java,needsFlushToEnsureWrite(ByteBuffer),java.nio.channels.FileChannel,,,,flush,,wrong,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE,,,,,,,,TRUE
200,synthetic_survey,jsl,mubench/examples/survey/OnlyNext.java,misuse(Collection),java.util.Iterator,,,,hasnext,,exception,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,TRUE,,,,,,,,FALSE
201,synthetic_survey,jsl,mubench/examples/survey/ListGet.java,"misuse(List, int)",java.util.List,,,,listget,,exception,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,,,,,,,,FALSE
202,synthetic_survey,jsl,mubench/examples/survey/Maps.java,"keyMayBeNull(HashMap, String)",java.util.Map,,,,mapkeynull,,exception,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE,,,,,,,,TRUE
203,synthetic_survey,jsl,mubench/examples/survey/Maps.java,mapMayContainNull(Map),java.util.Map,,,,mapnull,,wrong,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE,,,,,,,,FALSE
204,synthetic_survey,jsl,mubench/examples/survey/NoFile.java,"misuse(Path, byte[])",java.nio.file.Files,,,,nofile,,exception,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,FALSE
205,synthetic_survey,jsl,mubench/examples/survey/JFramePack.java,packAfterShowHasNoEffect(JFrame),javax.swing.JFrame,,,,pack-1,,wrong,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,TRUE,,,,,,,,FALSE
206,synthetic_survey,jsl,mubench/examples/survey/JFramePack.java,needsPackToLayout(JFrame),javax.swing.JFrame,,,,pack-2,,wrong,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,FALSE,,,,,,,,FALSE
207,synthetic_survey,jsl,mubench/examples/survey/SetFirst.java,misuse(Set),java.util.Iterator,,,,setfirst,,exception,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,TRUE,,,,,,,,FALSE
208,tbuktu-ntru,8126929,net/sf/ntru/encrypt/EncryptionParameters.java,writeTo(OutputStream),java.io.DataOutputStream,,,,473,,wrong,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,TRUE,,,,,,,,FALSE
209,tbuktu-ntru,8126929,net/sf/ntru/sign/SignatureParameters.java,writeTo(OutputStream),java.io.DataOutputStream,,,,474,,wrong,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,TRUE,,,,,,,,FALSE
210,tbuktu-ntru,8126929,net/sf/ntru/sign/SignaturePrivateKey.java,getEncoded(),java.io.DataOutputStream,,,,475,,wrong,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE,,,,,,,,TRUE
211,tbuktu-ntru,8126929,net/sf/ntru/sign/SignaturePublicKey.java,getEncoded(),java.io.DataOutputStream,,,,476,,wrong,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE,,,,,,,,TRUE
212,technic-launcher-sp,7809682,org/spoutcraft/launcher/skin/LoginFrame.java,"getCipher(int, String)",javax.crypto.Cipher,,,,1,,wrong,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,FALSE
213,testng,677302c,org/testng/reporters/XMLReporter.java,getSuiteAttributes(ISuite),java.util.Collections$SynchronizedCollection,,,,22,,wrong,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,FALSE
214,testng,677302c,org/testng/mustache/Model.java,resolveValueToString(String),java.lang.StringBuilder,,,,dmmc-0,,wrong,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,,,,,,,,FALSE
215,testng,677302c,org/testng/xml/SuiteGenerator.java,"createCustomizedSuite(String, Collection, Collection, Collection, Collection, Map, String, int)",java.util.Iterator,,,,dmmc-4,,exception,,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,TRUE,TRUE,,,,,,,,FALSE
216,testng,677302c,org/testng/reporters/JqReporter.java,"generateSuites(List, List, XMLStringBuffer)",org.testng.reporters.XMLStringBuffer,,,,grouminer-4,,exception,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,TRUE,FALSE,,,,,,,,FALSE
217,testng,677302c,org/testng/reporters/jq/ChronologicalPanel.java,"getContent(ISuite, XMLStringBuffer)",org.testng.reporters.XMLStringBuffer,,,,grouminer-17,,exception,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,TRUE,FALSE,,,,,,,,FALSE
218,testng,92e7da1,org/testng/reporters/JUnitXMLReporter.java,generateReport(ITestContext),java.util.Collections$SynchronizedCollection,,,,17,,wrong,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,FALSE
