,Project,Version,,,API 1,,,,Misuse,,,,DMMC,GrouMiner,Jadet,Tikanga,MUDetect,MUDetectXP,,COMPOSITE,ALP,,,,,,,,ALP uniq
63,hoverruan-weiboclient4j,6ca0c73,weiboclient4j/params/TagId.java,TagId(String),java.lang.Long,missing/exception_handling,,,134,,exception,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,TRUE,,,,,,,,FALSE
64,httpclient,452,org/apache/commons/httpclient/util/DateUtil.java,"formatDate(Date, String)",java.text.SimpleDateFormat,,,,4,,wrong,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,FALSE
65,httpclient,302,org/apache/commons/httpclient/HttpMethodDirector.java,executeWithRetry(HttpMethod),org.apache.commons.httpclient.HttpConnection,missing/call,,,1,,resource_leak,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,FALSE
66,httpclient,302,org/apache/commons/httpclient/HttpMethodDirector.java,executeWithRetry(HttpMethod),org.apache.commons.logging.Log,missing/condition/value_or_state,,,MUDetect-14,,wrong,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,TRUE,FALSE,,,,,,,,FALSE
67,httpclient,444,org/apache/commons/httpclient/HttpMethodDirector.java,processWWWAuthChallenge(HttpMethod),org.apache.commons.httpclient.auth.AuthState,missing/call,,,2,,wrong,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,FALSE
68,httpclient,444,org/apache/commons/httpclient/HttpMethodDirector.java,processProxyAuthChallenge(HttpMethod),org.apache.commons.httpclient.auth.AuthState,missing/call,,,3,,wrong,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,FALSE
69,itext,5091,com/itextpdf/text/pdf/PdfPublicKeySecurityHandler.java,"computeRecipientInfo(X509Certificate, byte[])",javax.crypto.Cipher,,,,1,,exception,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE,,,,,,,,TRUE
70,itext,5091,com/itextpdf/text/pdf/SimpleBookmark.java,"iterateOutlines(PdfWriter, PdfIndirectReference, List, boolean)",java.util.StringTokenizer,,,,dmmc-15,,exception,,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,,TRUE,TRUE,,,,,,,,FALSE
71,itext,5091,com/itextpdf/text/pdf/CJKFont.java,getBBox(int),java.util.StringTokenizer,,,,dmmc-16,,exception,,,,,,,,,#VALUE!,,,,,,,,,FALSE
72,itext,5091,com/itextpdf/text/pdf/CJKFont.java,getBBox(int),java.util.StringTokenizer,,,duplicate,dmmc-16a,,exception,,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,,TRUE,TRUE,,,,,,,,FALSE
73,itext,5091,com/itextpdf/text/html/WebColors.java,getRGBColor(String),java.util.StringTokenizer,,,,dmmc-18,,exception,,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,,TRUE,TRUE,,,,,,,,FALSE
74,itext,5091,com/itextpdf/awt/PdfGraphics2D.java,"drawImage(Image, Image, AffineTransform, Color, ImageObserver)",java.util.Iterator,,,,dmmc-61,,exception,,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,,TRUE,TRUE,,,,,,,,FALSE
75,itext,5091,com/itextpdf/text/pdf/PdfWriter.java,"writeCrossReferenceTable(OutputStream, PdfIndirectReference, PdfIndirectReference, PdfIndirectReference, PdfObject, long)",java.util.Iterator,,,,dmmc-357,,exception,,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,TRUE,FALSE,,,,,,,,FALSE
76,itext,5091,com/itextpdf/text/pdf/PdfPKCS7.java,"PdfPKCS7(byte[], byte[], String)",java.util.Iterator,,,,dmmc-937,,exception,,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,TRUE,TRUE,,,,,,,,FALSE
77,itext,5091,com/itextpdf/text/pdf/PdfStructureTreeRoot.java,"nodeProcess(PdfDictionary, PdfIndirectReference)",com.itextpdf.text.pdf.PdfArray,,,,jadet-5,,exception,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,,,,,,,,FALSE
78,itext,5091,com/itextpdf/text/pdf/fonts/cmaps/AbstractCMap.java,"addRange(PdfString, PdfString, PdfObject)",com.itextpdf.text.pdf.PdfArray,,,,jadet-9,,exception,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,,TRUE,TRUE,,,,,,,,FALSE
79,itext,5091,com/itextpdf/text/pdf/SimpleBookmark.java,"makeBookmarkParam(PdfArray, IntHashtable)",com.itextpdf.text.pdf.PdfArray,,,,MUDetect-10,,exception,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,TRUE,TRUE,,,,,,,,FALSE
80,itext,5091,com/itextpdf/text/pdf/PdfLayer.java,addChild(PdfLayer),com.itextpdf.text.pdf.PdfLayer,,,,MUDetect-38,,exception,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,TRUE,TRUE,,,,,,,,FALSE
81,ivantrendafilov-confucius,2c30287,org/trendafilov/confucius/core/AbstractConfiguration.java,getByteValue(String),java.lang.Byte,,,,93,,exception,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE,,,,,,,,TRUE
82,ivantrendafilov-confucius,2c30287,org/trendafilov/confucius/core/AbstractConfiguration.java,"getByteValue(String, byte)",java.lang.Byte,,,,94,,exception,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE,,,,,,,,TRUE
83,ivantrendafilov-confucius,2c30287,org/trendafilov/confucius/core/AbstractConfiguration.java,"getByteList(String, String)",java.lang.Byte,,,,95,,exception,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE,,,,,,,,TRUE
84,ivantrendafilov-confucius,2c30287,org/trendafilov/confucius/core/AbstractConfiguration.java,getLongValue(String),java.lang.Long,,,,96,,exception,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,TRUE,,,,,,,,FALSE
85,ivantrendafilov-confucius,2c30287,org/trendafilov/confucius/core/AbstractConfiguration.java,"getLongValue(String, long)",java.lang.Long,,,,97,,exception,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,TRUE,,,,,,,,FALSE
